Year,France,Germany,Italy,Russia,Sweden
1895,39785987,52019260,32336274,61976366,4952734
1896,39832125,52741949,32524272,62539534,4986745
1897,39878314,53474665,32713362,63107819,5020989
1898,39924553,54217548,32903549,63681265,5055469
1899,39971493,54984276,33109815,64259921,5089642
1900,40019136,55775391,33332371,64843834,5123503
1901,40067484,56591445,33571430,65433051,5157047
1902,40116538,57433002,33827207,66027621,5190268
1903,40166299,58300637,34099919,66627592,5223160
1904,40216118,59181365,34374827,67233013,5256260
1905,40265996,60075384,34651950,67843934,5289570
1906,40315932,60982895,34931305,68460405,5323091
1907,40365927,61904101,35212911,69082476,5356825
1908,40415980,62839208,35496784,69710198,5390772
1909,40408851,63557664,35739219,70343622,5426317
1910,40344819,64056716,35939804,70982800,5463482
1911,40224160,64333569,36098124,71599548,5502286
1912,40047151,64385385,36213760,72250136,5542751
1913,39814066,64209282,36286291,72906633,5584898
1914,39582334,64033646,36358965,73569093,5627365
1915,39351947,63858476,36431783,74237572,5670156
1916,39122898,63683770,36504744,74912123,5713272
1917,38895178,63509528,36577850,75592802,5756715
1918,38680067,63305628,36659635,76290879,5800311
1919,38558175,63226761,36789373,76995402,5840331
1920,38529587,63273356,36967588,77706431,5876734
1921,38594388,63445847,37194808,78424026,5909474
1922,38752667,63744670,37471567,79148248,5938507
1923,39004517,64170268,37798403,79879158,5963789
1924,39258004,64598707,38128090,80616819,5989178
1925,39513139,65030007,38460652,81361291,6014675
1926,39769931,65464186,38796116,82112638,6040280
1927,40028393,65901264,39134505,82870923,6065995
1928,40288534,66341260,39475845,83636211,6091819
1929,40485273,66789491,39817412,84408566,6116959
1930,40618294,67246048,40159184,85188053,6141408
1931,40687278,67711026,40501139,85974739,6165161
1932,40691906,68184518,40843255,86768690,6188213
1933,40631855,68666619,41185511,87569973,6210556
1934,40571892,69152129,41530635,88378655,6232980
1935,40512018,69641071,41878651,89194804,6255485
1936,40452232,70133471,42229584,90018492,6278071
1937,40392535,70629352,42583457,90849785,6300739
1938,40332925,71128740,42940295,91688756,6323489
1939,40314566,71499194,43279914,92535473,6354332
1940,40337546,71740083,43602046,93390010,6393377
1941,40401955,71850770,43906421,94252439,6440733
1942,40507882,71830612,44192767,95122832,6496512
1943,40655418,71678963,44460808,96001262,6560825
1944,40803492,71527635,44730474,96887805,6625775
1945,40952105,71376625,45001776,97782535,6691367
1946,41101259,71225935,45274723,98685527,6757610
1947,41250956,71075562,45549326,99596857,6824507
1948,41401199,70925507,45825595,100516604,6892068
1949,41598134,70888212,46106450,101444845,6955459
1950,41842356,70964104,46391944,102580112,7014611
1951,42196660,70820040,46750764,104151680,7068422
1952,42542396,70808376,47016488,105790048,7119455
1953,42883300,70879448,47412148,107493128,7169979
1954,43225644,71020736,47833768,109221072,7217603
1955,43593852,71222632,48130728,110971856,7264358
1956,43959224,71473272,48403440,112783336,7312100
1957,44338088,71771632,48660256,114590992,7358125
1958,44754360,72136480,48930472,116373656,7403293
1959,45201848,72578952,49224672,118076840,7449319
1960,45659572,73063696,49517708,119735104,7492907
1961,46143028,73604352,49812724,121408984,7536314
1962,46635188,74194424,50162244,122914608,7582638
1963,47121244,74796216,50555128,124227720,7632938
1964,47641948,75423248,50997780,125394240,7691821
1965,48168800,76037464,51452860,126400608,7755758
1966,48683088,76618720,51882568,127293952,7819976
1967,49181404,77173552,52294440,128111728,7882645
1968,49647272,77646128,52661072,128822376,7937776
1969,50087056,78012488,53001508,129489464,7983538
1970,50523588,78294592,53324036,130093008,8027701
1971,50970696,78511408,53636100,130719656,8073823
1972,51410364,78643560,53995428,131456440,8117718
1973,51814076,78667472,54379588,132191632,8156938
1974,52163552,78620536,54750684,132970440,8193157
1975,52450032,78513512,55093992,133841848,8224408
1976,52685272,78364216,55388904,134764464,8246992
1977,52925440,78221280,55649672,135712064,8265245
1978,53175308,78071552,55877016,136659136,8281304
1979,53428780,77915728,56070680,137510304,8296037
1980,53713836,77786696,56329480,138257424,8311761
1981,54016748,77684488,56532908,139002880,8326689
1982,54319652,77610424,56585840,139848000,8340726
1983,54592384,77566064,56607516,140854112,8355111
1984,54845984,77568576,56620236,141892544,8371284
1985,55108104,77638808,56636468,142896384,8389918
1986,55371640,77803352,56639056,144046480,8411798
1987,55641536,78090896,56644528,145312016,8438000
1988,55911476,78477528,56670880,146464384,8468135
1989,56169944,78916440,56711524,147341504,8504982
1990,56412896,79370192,56756560,148005696,8548407
1991,56645216,79801984,56794488,148455408,8594170
1992,56864048,80205024,56833184,148725600,8640277
1993,57053728,80573496,56869456,148897280,8683403
1994,57230064,80882120,56883820,148829120,8723467
1995,57420356,81123264,56885124,148557456,8758496
1996,57623180,81300864,56898972,148233408,8785493
1997,57839364,81436096,56925808,147939968,8807868
1998,58080344,81524384,56938736,147672720,8828629
1999,58352208,81556968,56945064,147336384,8848881
2000,58665456,81551680,56966400,146844848,8871042
2001,59014776,81514568,56994992,146235520,8896748
2002,59372784,81443424,57107576,145590144,8926011
2003,59728260,81346808,57425176,144946720,8961506
2004,60108436,81266672,57860664,144353648,9004263
2005,60510080,81212168,58199876,143800048,9051739
2006,60919152,81177816,58429904,143338672,9104724
2007,61329380,81183832,58778480,143117680,9164274
2008,61721004,81217488,59224228,143086544,9229282
2009,62093300,81260624,59562844,143163648,9301413
2010,62444568,81325088,59822452,143242592,9381722
2011,62775272,81423384,60025952,143364544,9467384
2012,63071412,81545568,60190152,143629360,9555984
2013,63335180,81680592,60312600,143956864,9648935
2014,63588496,81858824,60322792,144285072,9747507
2015,63809768,82073232,60232908,144668384,9849344
2016,63989320,82331432,60118628,145109152,9953322
2017,64144092,82624368,60004024,145452544,10058191
2018,64277812,82896696,59877432,145652288,10162300
2019,64399760,83148144,59727936,145742288,10267922
2020,64480052,83328992,59500576,145617328,10368968
2021,64531448,83408560,59240336,145102752,10467095
